Species,Number,Mortals,Guide,Recorder,Lat,Long,Time,GPS Label,Obs-Anml Dist,Angle,Angle Radians,Perp,Distance frm Start,Direction traveled,Fruit,Obs Type,Trail,Weather,Temperature,Date,Start/End of Trail?,Category of Date,Comments
WNG,20,2,Luke,ET,3.195084,12.807326,2017-02-05T07:37:50Z,WNG101,300,10,0.174532925,52.0944533,610,CW,,h,N6,cloudy/windy,,2/5/17,,MM,
BCH,1,1,Luke,ET,3.194044,12.811161,2017-02-05T08:02:23Z,BCH102,15,340,5.934119457,5.13030215,900,CW,,h,N6,cloudy/windy,,2/5/17,,MM,
MM,5,1,Luke,ET,3.194044,12.811161,2017-02-05T08:02:23Z,BCH102,4,90,1.570796327,4,900,CW,,s,N6,cloudy/windy,,2/5/17,,MM,
WNG,1,1,Luke,ET,3.193634,12.811603,2017-02-05T08:10:43Z,WNG103,10,280,4.886921906,9.84807753,1000,CW,,s,N6,cloudy/windy,,2/5/17,,MM,
MM,1,1,Luke,ET,3.191557,12.811578,2017-02-05T08:23:52Z,MM104,3,300,5.235987756,2.598076211,1130,CW,,s,N6,cloudy/windy,,2/5/17,,MM,
BCH,2,1,Luke,ET,3.191557,12.811578,2017-02-05T08:23:52Z,MM104,300,250,4.36332313,281.9077862,1130,CW,,h,N6,cloudy/windy,,2/5/17,9:28,MM,
BCH,1,1,Luke,ET,3.193107,12.81858,2017-02-05T10:06:23Z,28,300,250,4.36332313,281.9077862,460,CW,,s,RDA,cloudy/windy,End Temp: 25.5,2/5/17,10:47-11:11,LM,
CRG,5,5,Jean-Jacques,ET,3.186664,12.811307,2017-02-06T05:51:27Z,CRG106,27,270,4.71238898,27,234,CW,,h,MBA,Overcast/thin clouds,Start Temp: 22.6,2/6/17,6:42,EM,
BCH,1,1,Jean-Jacques,ET,3.185021,12.812576,2017-02-06T06:00:20Z,BCH107,50,15,0.261799388,12.94095226,500,CW,,h,MBA,Overcast/thin clouds,,2/6/17,,EM,
RBDH,3,3,Jean-Jacques,ET,3.185021,12.812576,2017-02-06T06:00:20Z,BCH107,40,85,1.483529864,39.84778792,500,CW,,h,MBA,Overcast/thin clouds,,2/6/17,,EM,
BCH,1,1,Jean-Jacques,ET,3.184137,12.813249,2017-02-06T06:06:37Z,BCH108,37,45,0.785398163,26.1629509,705,CW,,h,MBA,Overcast/thin clouds,,2/6/17,,EM,
BCH,2,2,Jean-Jacques,ET,3.182949,12.813624,2017-02-06T06:12:00Z,BCH109,50,60,1.047197551,43.30127019,726,CW,,h,MBA,Overcast/thin clouds,,2/6/17,,EM,
BCH,2,2,Jean-Jacques,ET,3.181875,12.813852,2017-02-06T06:17:06Z,BCH110,45,75,1.308996939,43.46666218,934,CW,,h,MBA,Overcast/thin clouds,,2/6/17,,EM,
BCH,2,2,Jean-Jacques,ET,3.180141,12.815454,2017-02-06T06:26:34Z,BCH111,38,70,1.221730476,35.70831959,1250,CW,,h,MBA,Overcast/thin clouds,End Temp: 22.9,2/6/17,7:45,EM,
AGP,2,2,Jean-Jacques,ET,3.174321,12.816006,2017-02-06T07:11:48Z,AGP112,30,90,1.570796327,30,20,CW,,s,JL,Partly Cloudy,,2/6/17,8:06,MM,
BCH,2,2,Jean-Jacques,ET,3.173649,12.815319,2017-02-06T07:16:48Z,PETITEROCHER,100,290,5.061454831,93.96926208,240,CW,,h,JL,Partly Cloudy,Start Temp: 23,2/6/17,,MM,
GCM,4,4,Jean-Jacques,ET,3.173649,12.815319,2017-02-06T07:16:48Z,PETITEROCHER,80,40,0.698131701,51.42300877,240,CW,,h,JL,Partly Cloudy,,2/6/17,,MM,
BCH,2,2,Jean-Jacques,ET,3.172432,12.815563,2017-02-06T07:31:18Z,BCH113,100,0,0,0,470,CW,,h,JL,Partly Cloudy,,2/6/17,,MM,
BCH,2,2,Jean-Jacques,ET,3.17223,12.815077,2017-02-06T07:34:30Z,BCH114,50,345,6.021385919,12.94095226,520,CW,,s,JL,Partly Cloudy,,2/6/17,,MM,
BCH,2,2,Jean-Jacques,ET,3.171998,12.812705,2017-02-06T07:49:15Z,BCH115,50,250,4.36332313,46.98463104,830,CW,,s,JL,Partly Cloudy,,2/6/17,,MM,
BCH,1,1,Jean-Jacques,ET,3.173316,12.809051,2017-02-06T08:20:32Z,BCH116,40,10,0.174532925,6.945927107,1240,CW,,h,JL,Partly Cloudy,,2/6/17,,MM,
BWC,8,5,Jean-Jacques,ET,3.174861,12.808337,2017-02-06T08:35:27Z,BWC117,0,0,0,0,1380,CW,,s,JL,Partly Cloudy,,2/6/17,,MM,
BCH,1,1,Jean-Jacques,ET,3.174907,12.808487,2017-02-06T08:43:23Z,BCH118,0,0,0,0,1490,CW,,h,JL,Partly Cloudy,,2/6/17,,MM,
BCH,2,2,Jean-Jacques,ET,3.177684,12.804199,2017-02-06T09:19:07Z,BCH119,25,60,1.047197551,21.65063509,2130,CW,,s,JL,Partly Cloudy,End Temp:24,2/6/17,9:55,MM,
BCH,1,1,Luke,JM,3.193341,12.811681,2017-02-06T05:56:06Z,120,200,110,1.919862177,187.9385242,250,CCW,,h,N6,Overcast,Start Temp: 22.7,2/6/17,6:45,EM,
BCH,2,2,Luke,JM,3.194118,12.811289,2017-02-06T06:04:19Z,121,30,20,0.34906585,10.2606043,377,CCW,,h,N6,Overcast,,2/6/17,,EM,
RBDH,2,2,Luke,JM,3.194439,12.809941,2017-02-06T06:13:20Z,122,40,340,5.934119457,13.68080573,555,CCW,,h,N6,Overcast,,2/6/17,,EM,
BCH,4,4,Luke,JM,3.194387,12.809797,2017-02-06T06:15:32Z,123,30,20,0.34906585,10.2606043,579,CCW,,h,N6,Overcast,,2/6/17,,EM,
BCH,2,2,Luke,JM,3.194258,12.808868,2017-02-06T06:21:42Z,124,30,340,5.934119457,10.2606043,654,CCW,,h,N6,Overcast,,2/6/17,,EM,
BCH,2,2,Luke,JM,3.195034,12.807323,2017-02-06T06:35:33Z,125,30,20,0.34906585,10.2606043,935,CCW,,h,N6,Overcast,,2/6/17,,EM,
CRG,15,15,Luke,JM,3.195208,12.806285,2017-02-06T06:42:32Z,126,100,340,5.934119457,34.20201433,1080,CCW,,h,N6,Overcast,,2/6/17,,EM,
BCH,3,3,Luke,JM,3.195208,12.806285,2017-02-06T06:42:32Z,126,0,0,0,0,1080,CCW,,h,N6,Overcast,,2/6/17,,EM,
WNG,5,5,Luke,JM,3.195001,12.805876,2017-02-06T06:46:58Z,127,20,35,0.610865238,11.47152873,1140,CCW,,s,N6,Overcast,,2/6/17,,EM,
RBDH,1,1,Luke,JM,3.19493,12.805741,2017-02-06T06:51:49Z,128,30,90,1.570796327,30,1160,CCW,,h,N6,Overcast,,2/6/17,,EM,
RBDH,1,1,Luke,JM,3.194668,12.805329,2017-02-06T06:54:29Z,129,10,270,4.71238898,10,1220,CCW,,h,N6,Overcast,,2/6/17,,EM,
APH,1,1,Luke,JM,3.194668,12.805329,2017-02-06T06:54:29Z,129,10,150,2.617993878,5,1220,CCW,,h,N6,Overcast,,2/6/17,,EM,
CRG,1,1,Luke,JM,3.194668,12.805329,2017-02-06T06:54:29Z,129,30,270,4.71238898,30,1220,CCW,,h,N6,Overcast,,2/6/17,,EM,
WTH,2,2,Luke,JM,3.194623,12.804465,2017-02-06T07:02:30Z,130,0,0,0,0,1340,CCW,,h,N6,Overcast,,2/6/17,,MM,
AGP,1,1,Luke,JM,3.194765,12.803502,2017-02-06T07:08:28Z,131,10,60,1.047197551,8.660254038,1460,CCW,,h,N6,Overcast,,2/6/17,,MM,
APH,1,1,Luke,JM,3.195054,12.803186,2017-02-06T07:11:00Z,132,15,20,0.34906585,5.13030215,1520,CCW,,h,N6,Overcast,,2/6/17,,MM,
CRG,20,0,Luke,JM,3.195485,12.802095,2017-02-06T07:19:14Z,133,100,90,1.570796327,100,1690,CCW,,h,N6,Overcast,,2/6/17,8:26,MM,
AGP,3,3,Luke,JM,3.196083,12.801059,2017-02-06T07:25:49Z,134,30,150,2.617993878,15,0,CCW,,h,FW,Partly Sunny,,2/6/17,8:46,MM,
BCH,4,4,Luke,JM,3.194992,12.800789,2017-02-06T07:52:30Z,135,30,290,5.061454831,28.19077862,400,CCW,,h,FW,Partly Sunny,,2/6/17,,MM,
WNG,1,1,Luke,JM,3.194405,12.800488,2017-02-06T07:57:27Z,136,40,270,4.71238898,40,487,CCW,,h,FW,Partly Sunny,,2/6/17,,MM,
BCH,1,1,Luke,JM,3.193352,12.800833,2017-02-06T08:07:35Z,137,200,10,0.174532925,34.72963553,690,CCW,,h,FW,Partly Sunny,,2/6/17,,MM,
BCH,2,2,Luke,JM,3.192582,12.801411,2017-02-06T08:13:36Z,138,50,20,0.34906585,17.10100717,734,CCW,,h,FW,Partly Sunny,,2/6/17,,MM,
APH,2,2,Luke,JM,3.191378,12.802203,2017-02-06T08:20:38Z,139,30,340,5.934119457,10.2606043,950,CCW,,h,FW,Partly Sunny,,2/6/17,,MM,
BCH,2,2,Luke,JM,3.191378,12.802203,2017-02-06T08:20:38Z,139,30,340,5.934119457,10.2606043,950,CCW,,h,FW,Partly Sunny,,2/6/17,,MM,
BCH,1,1,Luke,JM,3.190536,12.802656,2017-02-06T08:32:55Z,140,0,0,0,0,1080,CCW,,h,FW,Partly Sunny,,2/6/17,,MM,
MM,4,4,Luke,JM,3.190536,12.802656,2017-02-06T08:32:55Z,140,30,5,0.087266463,2.614672282,1080,CCW,,h,FW,Partly Sunny,,2/6/17,9:41,MM,
BCH,1,1,Luke,JM,3.188898,12.80237,2017-02-06T08:48:34Z,143,40,10,0.174532925,6.945927107,60,CCW,,h,BOU,Partly Sunny,,2/6/17,9:46,MM,
WNG,2,2,Luke,JM,3.188898,12.80237,2017-02-06T08:48:34Z,144,40,45,0.785398163,28.28427125,832,CCW,,h,BOU,Partly Sunny,,2/6/17,,LM,
WCH,1,0,Luke,JM,3.188898,12.80237,2017-02-06T08:48:34Z,144,40,45,0.785398163,28.28427125,832,CCW,,h,BOU,Partly Sunny,End Temp : 25,2/6/17,10:21,LM,
BCH,1,1,Luke,JM,3.192824,12.818703,2017-02-07T06:10:47Z,147,30,20,0.34906585,10.2606043,106,CCW,,h,RDA,Overcast,,2/7/17,7:07,EM,
BCH,2,2,Luke,JM,3.192416,12.818902,2017-02-07T06:13:18Z,148,40,340,5.934119457,13.68080573,165,CCW,,s,RDA,Overcast,,2/7/17,,EM,
WNG,3,3,Luke,JM,3.192261,12.819105,2017-02-07T06:14:32Z,149,50,330,5.759586532,25,199,CCW,,h,RDA,Overcast,,2/7/17,,EM,
BCH,4,4,Luke,JM,3.191647,12.820178,2017-02-07T06:20:03Z,150,0,0,0,0,354,CCW,,h,RDA,Overcast,,2/7/17,,EM,
RBDH,1,1,Luke,JM,3.190859,12.821027,2017-02-07T06:25:56Z,151,20,340,5.934119457,6.840402867,580,CCW,,h,RDA,Overcast,,2/7/17,7:22,EM,
APH,3,3,Luke,JM,3.211495,12.822795,2017-02-07T08:21:10Z,153,0,0,0,0,0,CCW,,s,ENT,Partly Sunnny,,;,9:21,MM,
BCH,2,2,Luke,JM,3.210633,12.822932,2017-02-07T08:26:45Z,154,30,170,2.967059728,5.20944533,114,CCW,,h,ENT,Partly Sunnny,,2/7/17,,MM,
BCH,2,2,Luke,JM,3.209633,12.824074,2017-02-07T08:32:13Z,155,100,80,1.396263402,98.4807753,293,CCW,,h,ENT,Partly Sunnny,,2/7/17,,MM,
PPH,3,3,Luke,JM,3.198255,12.821471,2017-02-07T09:12:15Z,156,0,0,0,0,2150,CCW,,s,ENT,Partly Sunnny,,2/7/17,,LM,
BCH,2,2,Luke,JM,3.197705,12.821947,2017-02-07T09:15:12Z,157,50,20,0.34906585,17.10100717,2250,CCW,,s,ENT,Partly Sunnny,,2/7/17,,LM,
APH,6,6,Luke,JM,3.193648,12.820823,2017-02-07T09:29:05Z,158,0,0,0,0,2820,CCW,,s,ENT,Partly Sunnny,,2/7/17,,LM,
APH,1,1,Luke,JM,3.191723,12.814668,2017-02-07T09:46:32Z,159,0,0,0,0,3620,CCW,,h,ENT,Partly Sunnny,,2/7/17,10:51,LM,
BCH,3,3,Jean-Jacques,ET,3.196128,12.801073,2017-02-07T06:53:16Z,ELE STRT 7TH,50,200,3.490658504,17.10100717,0,CW,,h,EL ,Partly Sunny,,2/7/17,START: 7:54,MM,Emily's notebook has this data as the 6th on a Tuesday  
BCH,1,1,Jean-Jacques,ET,3.199953,12.801169,2017-02-07T07:13:26Z,BCH 120,20,60,1.047197551,17.32050808,320,CW,,h,EL ,Partly Sunny,,2/7/17,,MM,
WCH,1,1,Jean-Jacques,ET,3.200641,12.800878,2017-02-07T07:17:57Z,WCH121,45,70,1.221730476,42.28616794,500,CW,,h,EL ,Partly Sunny,,2/7/17,,MM,
MM,4,4,Jean-Jacques,ET,3.201342,12.800764,2017-02-07T07:23:11Z,MM122,50,30,0.523598776,25,520,CW,,s,EL ,Partly Sunny,,2/7/17,,MM,
BCH,1,1,Jean-Jacques,ET,3.201342,12.800764,2017-02-07T07:23:11Z,MM122,100,120,2.094395102,86.60254038,520,CW,,h,EL ,Partly Sunny,,2/7/17,,MM,
BCH,2,2,Jean-Jacques,ET,3.202745,12.801804,2017-02-07T07:33:04Z,BCH123,5,60,1.047197551,4.330127019,830,CW,,h,EL ,Partly Sunny,,2/7/17,,MM,
BCH,1,1,Jean-Jacques,ET,3.204301,12.801764,2017-02-07T07:40:08Z,BCH124,50,300,5.235987756,43.30127019,910,CW,,h,EL ,Partly Sunny,,2/7/17,,MM,
AGP,2,2,Jean-Jacques,ET,3.205537,12.802952,2017-02-07T07:47:50Z,AGP125,25,120,2.094395102,21.65063509,1210,CW,,h,EL ,Partly Sunny,,2/7/17,,MM,
BCH,2,2,Jean-Jacques,ET,3.207142,12.805811,2017-02-07T08:07:07Z,BCH126,40,160,2.792526803,13.68080573,1600,CW,,h,EL ,Partly Sunny,,2/7/17,,MM,
MM,2,2,Jean-Jacques,ET,3.207142,12.805811,2017-02-07T08:07:07Z,BCH126,30,200,3.490658504,10.2606043,1600,CW,,h,EL ,Partly Sunny,,2/7/17,,MM,only heard tree noises
APH,2,2,Jean-Jacques,ET,3.207142,12.805811,2017-02-07T08:07:07Z,BCH126,30,100,1.745329252,29.54423259,1600,CW,,h,EL ,Partly Sunny,,2/7/17,,MM,
BCH,6,6,Jean-Jacques,ET,3.208512,12.809041,2017-02-07T08:25:43Z,BCH127,20,270,4.71238898,20,2400,CW,,s,EL ,Partly Sunny,,2/7/17,END: 9:37,MM,
BCH,2,2,Jean-Jacques,ET,3.209211,12.810842,2017-02-07T08:38:16Z,JNC ELE CDC BD,20,0,0,0,0,CW,,s,CDC,Sunny,,2/7/17,START: 9:45,LM,
BCH,4,4,Jean-Jacques,ET,3.207895,12.811687,2017-02-07T08:58:44Z,BCH128,25,45,0.785398163,17.67766953,150,CW,,s,CDC,Sunny,,2/7/17,,LM,
BCH,3,3,Jean-Jacques,ET,3.207597,12.811905,2017-02-07T09:05:44Z,BCH129,0,0,0,0,230,CW,,h,CDC,Sunny,,2/7/17,,LM,
BCH,1,1,Jean-Jacques,ET,3.202208,12.810845,2017-02-07T09:57:37Z,BCH130,100,90,1.570796327,100,1280,CW,,h,CDC,Sunny,,2/7/17,BREAK: 10:15- 10:38,LM,
MM,6,6,Jean-Jacques,ET,3.201542,12.810903,2017-02-07T10:00:52Z,MM131,25,30,0.523598776,12.5,1280,CW,,h,CDC,Sunny,,2/7/17,,LM,only heard tree noises
WNG,2,2,Jean-Jacques,ET,3.200552,12.810998,2017-02-07T10:06:34Z,WNG132,45,300,5.235987756,38.97114317,1500,CW,,s,CDC,Sunny,,2/7/17,,LM,
MM,2,2,Jean-Jacques,ET,3.195729,12.815751,2017-02-07T10:32:11Z,MM133,30,300,5.235987756,25.98076211,2100,CW,,h,CDC,Sunny,,2/7/17,,LM,
APH,1,1,Jean-Jacques,ET,3.193625,12.815266,2017-02-07T10:39:46Z,APH 134,50,0,0,0,2470,CW,,h,CDC,Sunny,,2/7/17,END: 11:46,LM,
BCH,1,1,Luke,JM,3.190496,12.813777,2017-02-09T05:50:04Z,161,0,0,0,0,0,CCW,,h,SB,Overcast,,2/9/17,START: 6:51,EM,
APH,4,4,Luke,JM,3.190496,12.813777,2017-02-09T05:50:04Z,161,0,0,0,0,0,CCW,,s,SB,Overcast,,2/9/17,,EM,
CRG,25,25,Luke,JM,3.190063,12.813825,2017-02-09T05:56:14Z,162,15,330,5.759586532,7.5,90,CCW,,s,SB,Overcast,,2/9/17,,EM,
WNG,2,2,Luke,JM,3.190063,12.813825,2017-02-09T05:56:14Z,162,15,330,5.759586532,7.5,90,CCW,,s,SB,Overcast,,2/9/17,,EM,
RBDH,1,1,Luke,JM,3.189064,12.814062,2017-02-09T06:06:57Z,163,50,50,0.872664626,38.30222216,225,CCW,,s,SB,Overcast,,2/9/17,,EM,
BCH,1,1,Luke,JM,3.186809,12.815405,2017-02-09T06:19:38Z,164,50,270,4.71238898,50,558,CCW,,h,SB,Overcast,,2/9/17,,EM,
APH,1,1,Luke,JM,3.185412,12.815377,2017-02-09T06:32:21Z,165,30,30,0.523598776,15,881,CCW,,h,SB,Overcast,,2/9/17,END: 7:45,EM,
RBDH,3,3,Luke,JM,3.176382,12.816622,2017-02-09T07:41:48Z,167,20,10,0.174532925,3.472963553,0,CCW,,h,MBA,Overcast,,2/9/17,START: 8:42,EM,
BCH,1,1,Luke,JM,3.179698,12.81546,2017-02-09T07:56:27Z,168,30,340,5.934119457,10.2606043,444,CCW,,h,MBA,Overcast,,2/9/17,,EM,
BCH,1,1,Luke,JM,3.181888,12.813837,2017-02-09T08:08:30Z,169,40,340,5.934119457,13.68080573,769,CCW,,h,MBA,Overcast,,2/9/17,,LM,
BCH,1,1,Luke,JM,3.182415,12.813454,2017-02-09T08:11:15Z,170,10,330,5.759586532,5,871,CCW,,h,MBA,Overcast,,2/9/17,,LM,
BCH,1,1,Luke,JM,3.184265,12.813097,2017-02-09T08:17:08Z,171,40,190,3.316125579,6.945927107,1110,CCW,,h,MBA,Overcast,,2/9/17,,LM,
WNG,1,1,Luke,JM,3.184265,12.813097,2017-02-09T08:17:08Z,171,30,350,6.108652382,5.20944533,1110,CCW,,h,MBA,Overcast,,2/9/17,,LM,
BCH,1,1,Luke,JM,3.184876,12.812758,2017-02-09T08:22:27Z,172,30,30,0.523598776,15,1210,CCW,,h,MBA,Overcast,,2/9/17,,LM,
APH,1,1,Luke,JM,3.187006,12.811225,2017-02-09T08:34:29Z,173,40,45,0.785398163,28.28427125,1320,CCW,,h,MBA,Overcast,,2/9/17,,LM,
BCH,1,1,Luke,JM,3.187126,12.811099,2017-02-09T08:36:03Z,174,30,340,5.934119457,10.2606043,1330,CCW,,h,MBA,Overcast,,2/9/17,END: 9:40,LM,
BCH,2,2,Jean-Jacques,ET,3.194025,12.8113,2017-02-09T05:56:02Z,STRTN69,100,100,1.745329252,98.4807753,0,CCW,,h,N6,Overcast,,2/9/17,START: 6:55,EM,
BCH,1,1,Jean-Jacques,ET,3.194338,12.810653,2017-02-09T05:59:48Z,BCH135,50,180,3.141592654,6.13E-15,70,CCW,,h,N6,Overcast,,2/9/17,,EM,
RBDH,2,2,Jean-Jacques,ET,3.1944,12.809376,2017-02-09T06:04:38Z,RBDH136,100,325,5.672320069,57.35764364,199,CCW,,h,N6,Overcast,,2/9/17,,EM,
WNG,2,2,Jean-Jacques,ET,3.194302,12.80855,2017-02-09T06:10:33Z,WNG137,50,270,4.71238898,50,283,CCW,,h,N6,Overcast,,2/9/17,,EM,
CRG,6,6,Jean-Jacques,ET,3.195055,12.807307,2017-02-09T06:16:49Z,CRG138,25,30,0.523598776,12.5,442,CCW,,h,N6,Overcast,,2/9/17,,EM,
BCH,1,1,Jean-Jacques,ET,3.195055,12.807307,2017-02-09T06:16:49Z,CRG138,46,90,1.570796327,46,442,CCW,,h,N6,Overcast,,2/9/17,,EM,
BCH,3,3,Jean-Jacques,ET,3.195261,12.806401,2017-02-09T06:22:11Z,BCH139,20,90,1.570796327,20,537,CCW,,s,N6,Overcast,,2/9/17,,EM,m&f not feeding
AGP,2,2,Jean-Jacques,ET,3.195261,12.806401,2017-02-09T06:22:11Z,BCH139,25,290,5.061454831,23.49231552,537,CCW,,h,N6,Overcast,,2/9/17,,EM,
GBT,1,1,Jean-Jacques,ET,3.195261,12.806401,2017-02-09T06:22:11Z,BCH139,30,220,3.839724354,19.28362829,537,CCW,,h,N6,Overcast,,2/9/17,,EM,
RBDH,2,2,Jean-Jacques,ET,3.195036,12.805856,2017-02-09T06:26:37Z,RBDH140,45,245,4.276056667,40.78385042,537,CCW,,h,N6,Overcast,,2/9/17,,EM,
WTH,2,2,Jean-Jacques,ET,3.194596,12.805271,2017-02-09T06:31:07Z,WTH141,47,70,1.221730476,44.16555318,710,CCW,,h,N6,Overcast,,2/9/17,,EM,
RBDH,1,1,Jean-Jacques,ET,3.195247,12.802715,2017-02-09T06:43:06Z,RBDH142,50,280,4.886921906,49.24038765,1030,CCW,,h,N6,Overcast,,2/9/17,,EM,
WNG,1,1,Jean-Jacques,ET,3.195484,12.802105,2017-02-09T06:46:33Z,WNG143,50,255,4.450589593,48.29629131,1030,CCW,,h,N6,Overcast,,2/9/17,END: 7:57,EM,
BCH,2,2,Jean-Jacques,ET,3.193785,12.800811,2017-02-09T07:16:55Z,BCH144,50,110,1.919862177,46.98463104,280,CCW,,h,FW,Partly Sunny,,2/9/17,START: 8:06,MM,
WNG,3,3,Jean-Jacques,ET,3.192291,12.80139,2017-02-09T07:25:56Z,WNG145,100,360,6.283185307,2.45E-14,500,CCW,,h,FW,Partly Sunny,,2/9/17,,MM,
BCH,1,1,Jean-Jacques,ET,3.191017,12.802892,2017-02-09T07:35:13Z,BCH146,25,0,0,0,730,CCW,,h,FW,Partly Sunny,,2/9/17,,MM,
BCH,2,2,Jean-Jacques,ET,3.190406,12.802573,2017-02-09T07:38:35Z,BCH147,200,35,0.610865238,114.7152873,790,CCW,,h,FW,Partly Sunny,,2/9/17,,MM,
APH,4,4,Jean-Jacques,ET,3.189606,12.801938,2017-02-09T07:42:47Z,APH148,0,0,0,0,960,CCW,,s,FW,Partly Sunny,,2/9/17,END: 8:49,MM,
BCH,1,1,Luke,JM,3.188932,12.808984,2017-02-10T05:48:57Z,177,30,20,0.34906585,10.2606043,216,CCW,,h,BOU,Overcast,,2/10/17,START: 6:42,EM,
RBDH,2,2,Luke,JM,3.188633,12.808371,2017-02-10T05:51:39Z,178,60,90,1.570796327,60,358,CCW,,h,BOU,Overcast,,2/10/17,,EM,
BCH,3,3,Luke,JM,3.188436,12.80775,2017-02-10T05:54:20Z,179,0,0,0,0,447,CCW,,s,BOU,Overcast,,2/10/17,,EM,
BCH,1,1,Luke,JM,3.188311,12.805048,2017-02-10T06:02:21Z,180,30,270,4.71238898,30,786,CCW,,h,BOU,Overcast,,2/10/17,,EM,
WTH,1,1,Luke,JM,3.188483,12.802847,2017-02-10T06:09:33Z,181,15,30,0.523598776,7.5,1080,CCW,,h,BOU,Overcast,,2/10/17,,EM,
WCH,1,1,Luke,JM,3.188483,12.802847,2017-02-10T06:09:33Z,181,30,150,2.617993878,15,1080,CCW,,h,BOU,Overcast,,2/10/17,END: 7:10,EM,
BCH,2,2,Luke,JM,3.175227,12.807327,2017-02-10T07:42:49Z,188,0,0,0,0,0,CCW,,s,JL,Overcast,,2/10/17,START: 8:43,EM,
BCH,2,2,Luke,JM,3.174414,12.80824,2017-02-10T07:48:07Z,189,30,30,0.523598776,15,162,CCW,,h,JL,Overcast,,2/10/17,,EM,
BCH,2,2,Luke,JM,3.173555,12.808768,2017-02-10T07:52:24Z,190,0,0,0,0,288,CCW,,h,JL,Overcast,,2/10/17,,EM,
WCH,1,1,Luke,JM,3.172974,12.810047,2017-02-10T07:58:02Z,191,40,40,0.698131701,25.71150439,464,CCW,,h,JL,Overcast,,2/10/17,,EM,
WNG,1,1,Luke,JM,3.172008,12.811649,2017-02-10T08:08:45Z,192,30,30,0.523598776,15,731,CCW,,h,JL,Overcast,,2/10/17,,MM,
BCH,5,5,Luke,JM,3.171975,12.812626,2017-02-10T08:15:33Z,193,20,20,0.34906585,6.840402867,862,CCW,,s,JL,Overcast,,2/10/17,,MM,
BCH,3,3,Luke,JM,3.172159,12.813491,2017-02-10T08:21:43Z,194,5,5,0.087266463,0.435778714,915,CCW,,h,JL,Overcast,,2/10/17,,MM,
APH,1,1,Luke,JM,3.172313,12.815394,2017-02-10T08:29:19Z,195,50,50,0.872664626,38.30222216,1200,CCW,,h,JL,Overcast,,2/10/17,END: 9:33,MM,
PPH,5,5,Jean-Jacques,ET,3.189233,12.822994,2017-02-10T06:53:11Z,RDA START,30,170,2.967059728,5.20944533,0,,,s,RDA,Overcast,,2/10/17,START: 7:57,,
APH,1,1,Jean-Jacques,ET,3.191522,12.820311,2017-02-10T07:03:02Z,APH 149,25,270,4.71238898,25,440,,,h,RDA,Overcast,,2/10/17,END: 8:12,,
BCH,2,2,Jean-Jacques,ET,3.211183,12.822813,2017-02-10T08:55:09Z,BCH 150,100,60,1.047197551,86.60254038,30,,,h,ENT,Overcast,,2/10/17,START: 9:53,,Not labeled in Emily's notebook. Assumed this is enterence start
PPH,2,2,Jean-Jacques,ET,3.208789,12.824115,2017-02-10T09:03:37Z,PPH 151,45,190,3.316125579,7.814167995,400,,,h,ENT,Overcast,,2/10/17,,,
BCH,1,1,Jean-Jacques,ET,3.208789,12.824115,2017-02-10T09:03:37Z,PPH 151,100,270,4.71238898,100,400,,,h,ENT,Overcast,,2/10/17,,,
PPH,2,2,Jean-Jacques,ET,3.208348,12.824132,2017-02-10T09:06:15Z,PPH 152,50,270,4.71238898,50,420,,,h,ENT,Overcast,,2/10/17,,,
CRG,7,7,Jean-Jacques,ET,3.205641,12.824438,2017-02-10T09:13:53Z,CRG 153,48,300,5.235987756,41.56921938,700,,,h,ENT,Overcast,,2/10/17,,,GPS Point mislabeled
WNG,2,2,Jean-Jacques,ET,3.205641,12.824438,2017-02-10T09:13:53Z,CRG 153,60,270,4.71238898,60,700,,,s,ENT,Overcast,,2/10/17,,,GPS Point mislabeled
RBDH,2,2,Jean-Jacques,ET,3.201133,12.820642,2017-02-10T09:41:58Z,RBDH 154,50,200,3.490658504,17.10100717,1430,,,h,ENT,Overcast,,2/10/17,,,GPS Point mislabeled
BCH,2,2,Jean-Jacques,ET,3.200542,12.819906,2017-02-10T09:47:49Z,BCH 155,40,50,0.872664626,30.64177772,1480,,,h,ENT,Overcast,,2/10/17,,,
CRG,1,1,Jean-Jacques,ET,3.193763,12.820551,2017-02-10T10:18:13Z,CRG 156,40,190,3.316125579,6.945927107,2480,,,h,ENT,Overcast,,2/10/17,,,
APH,2,2,Jean-Jacques,ET,3.193876,12.820204,2017-02-10T10:19:53Z,APH 157,200,30,0.523598776,100,2520,,,h,ENT,Overcast,,2/10/17,END: 11:39,,
BCH,1,1,Luke,JM,3.20844,12.808794,2017-02-11T08:10:42Z,204,10,90,1.570796327,10,269,CCW,,s,EL ,Partly Sunny,,2/11/17,START: 8:55,MM,
BCH,1,1,Luke,JM,3.207607,12.807028,2017-02-11T08:22:06Z,205,100,20,0.34906585,34.20201433,523,CCW,,h,EL ,Partly Sunny,,2/11/17,,MM,
BCH,1,1,Luke,JM,3.205947,12.803128,2017-02-11T08:40:35Z,206,100,100,1.745329252,98.4807753,1020,CCW,,h,EL ,Partly Sunny,,2/11/17,,MM,
RBDH,1,1,Luke,JM,3.200844,12.800965,2017-02-11T09:07:03Z,207,100,340,5.934119457,34.20201433,1054,CCW,,h,EL ,Partly Sunny,,2/11/17,,MM,
