Species,Number,,Guide,Recorder,Lat,Long,Time,GPS Label,Obs-Anml Dist,Angle,Angle Radians,Perp,Distance frm Start,Direction traveled,Fruit,Obs Type,Trail,Weather,Temperature,Date,Start/End of Trail?,Category of Date,CoMMents,Loop,GIS #
AGP,1,,Thomas,BCW,,,1125,,,90,,16,100,CW,,s,SB,,,6-Feb-99,,,,,330
GBT,5,,Thomas,BCW,,,1116,,,90,,10,105,CW,,s,SB,,,6-Feb-99,,,,,331
AGP,2,,JEAN-PIERRE,CMS,,,624,,,90,,57,160,CCW,,s,SB,PC,,1/8/99,,,,PG,332
GT,1,,JEAN-PIERRE,CMS,,,626,,,90,,49,188,CCW,,h,SB,PC,,1/8/99,,,,,333
GCM,5,,JEAN-PIERRE,CMS,,,626,,,270,,13,202,CCW,,s,SB,PC,,1/8/99,,,,,334
GBT,3,,JEAN-PIERRE,CMS,,,630,,,90,,78,240,CCW,,h,SB,PC,,1/8/99,,,,,335
GBT,1,,Thomas,BCW,,,1110,,,270,,10,240,CW,,s,SB,,,6-Feb-99,,,,PG,336
GBT,1,,Antoine,AAD,,,700,,,90,,84,250,CCW,,h,SB,OC,,1/21/99,,,,,337
AGP,2,,JEAN-PIERRE,CMS,,,632,,,270,,69,259,CCW,,h,SB,PC,,1/8/99,,,,,338
WNG,2,,simon,CLB,,,631,,,0,,0,270,CCW,,h,SB,,,16-Feb-99,,,,PG,339
APH,2,,Antoine,AAD,,,636,,,90,,0,315,CCW,,h,SB,OC,,1/21/99,,,,,340
BCH,1,,simon,CLB,,,635,,,90,,52,410,CCW,,h,SB,,,16-Feb-99,,,,,341
BCH,2,,simon,CLB,,,635,,,90,,5,415,CCW,,s,SB,,,16-Feb-99,,,,,342
CRG,7,,JEAN-PIERRE,CMS,,,642,,,270,,57,628,CCW,,s,SB,PC,,1/8/99,,,,,343
MM,5,,JEAN-PIERRE,CMS,,,642,,,270,,57,628,CCW,,s,SB,PC,,1/8/99,,,,,344
WNG,2,,JEAN-PIERRE,CMS,,,642,,,270,,57,628,CCW,,s,SB,PC,,1/8/99,,,,,345
GCM,2,,JEAN-PIERRE,CMS,,,652,,,90,,87,762,CCW,,h,SB,PC,,1/8/99,,,,,346
CHIMP,1,,simon,CLB,,,652,,,90,,100,925,CCW,,h,SB,,,16-Feb-99,,,,,347
