Species,Number,,Guide,Recorder,Lat,Long,Time,GPS Label,Obs-Anml Dist,Angle,Angle Radians,Perp,Distance frm Start,Direction traveled,Fruit,Obs Type,Trail,Weather,Temperature,Date,Start/End of Trail?,Category of Date,CoMMents,Loop,GIS #,Repetition
BCH,4,,MOISE,CMS,,,844,,,90,,6,11,CW,,s,BD,PC,,1/7/1999,,,,,17,1
BCH,1,,MOISE,CMS,,,839,,,90,,78,308,CW,,h,BD,PC,,1/7/1999,,,,,26,1
GCM,8,,MOISE,CMS,,,808,,,90,,18,744,CW,,s,BD,PC,,1/7/1999,,,,,29,1
WCH,1,,MOISE,CMS,,,808,,,90,,18,744,CW,,s,BD,PC,,1/7/1999,,,,,30,1
RBDH,1,,MOISE,CMS,,,808,,,90,,47,823,CW,,h,BD,PC,,1/7/1999,,,,,33,1
WTH,2,,MOISE,CMS,,,802,,,270,,16,898,CW,,s,BD,PC,,1/7/1999,,,,,34,1
GCM,2,,MOISE,CMS,,,757,,,90,,58,1022,CW,,h,BD,PC,,1/7/1999,,,,,36,1
GBT,1,,MOISE,CLB,,,847,,,270,,21,1030,CW,,h,BD,OC,,1/22/1999,,,,,37,2
GBT,1,,MOISE,CLB,,,847,,,270,,0,1060,CW,,s,BD,OC,,1/22/1999,,,,,38,2
GBT,1,,MOISE,CLB,,,847,,,270,,47,1075,CW,,h,BD,OC,,1/22/1999,,,,BD,39,2
WNG,1,,MOISE,CLB,,,831,,,180,,73,1470,CW,,h,BD,OC,,1/22/1999,,,,,41,2
CRG,7,,simon,BTM,,,858,,,270,,10,15,CW,,s,BD,,,9-Feb-99,,,,,18,3
WNG,1,,simon,BTM,,,846,,59,200,,20.17902499,475,CW,,h,BD,,,9-Feb-99,,,,,27,3
BCH,2,,simon,BTM,,,835,,,0,,0,740,CW,,s,BD,,,9-Feb-99,,,,,28,3
RBDH,2,,simon,BTM,,,830,,39,220,,25.06861988,810,CW,,h,BD,,,9-Feb-99,,,,,31,3
BCH,1,,simon,BTM,,,830, ,,270,,45,810,CW,,h,BD,,,9-Feb-99,,,,,32,3
WTH,3,,simon,BTM,,,805,,,90,,75,975,CW,,s,BD,,,9-Feb-99,,,,BD,35,3
BCH,3,,simon,BTM,,,810,,,90,,75,975,CW,,s,BD,,,9-Feb-99,,,,,42,3
AGP,2,,simon,BTM,,,755,,,270,,12,1280,CW,,s,BD,,,9-Feb-99,,,,,40,3
PPH,2,,matthieu,BTM,,,904,,,90,,45,25,CW,,h,BD,,,25-Feb-99,,,,,19,4
CRG,10,,matthieu,BTM,,,849,,,15,,0,90,CW,,s,BD,,,25-Feb-99,,,,BD,20,4
GCM,1,,matthieu,BTM,,,857,,,90,,25,90,CW,,h,BD,,,25-Feb-99,,,,,21,4
BCH,1,,matthieu,BTM,,,857,,,270,,22,100,CW,,h,BD,,,25-Feb-99,,,,,22,4
MM,1,,matthieu,BTM,,,859,,,90,,30,100,CW,,h,BD,,,25-Feb-99,,,,,23,4
WNG,1,,matthieu,BTM,,,900,,,90,,55,100,CW,,h,BD,,,25-Feb-99,,,,,24,4
WCH,2,,matthieu,BTM,,,849,,,90,,25,120,CW,,h,BD,,,25-Feb-99,,,,,25,4
APH,1,,Luke,BTM,,,638,,,90,,50,345,CCW,,h,BOU,OC,,1/22/1999,,,,JL,50,1
CRG,3,,Luke,BTM,,,639,,,270,,30,345,CCW,,s,BOU,OC,,1/22/1999,,,,,51,1
WNG,2,,Luke,BTM,,,639,,,90,,40,345,CCW,,h,BOU,OC,,1/22/1999,,,,,52,1
WNG,2,,Luke,BTM,,,639,,,270,,25,345,CCW,,h,BOU,OC,,1/22/1999,,,,,53,1
WCH,1,,Luke,BTM,,,654,,,90,,30,350,CCW,,h,BOU,OC,,1/22/1999,,,,,54,1
RBDH,2,,Luke,BTM,,,701,,,90,,80,400,CCW,,h,BOU,OC,,1/22/1999,,,,,55,1
GCM,2,,Luke,BTM,,,719,,,90,,60,496,CCW,,h,BOU,OC,,1/22/1999,,,,,56,1
GCM,2,,Luke,BTM,,,719,,,270,,40,496,CCW,,h,BOU,OC,,1/22/1999,,,,,57,1
GCM,4,,Luke,BTM,,,731,,,90,,25,765,CCW,,s,BOU,OC,,1/22/1999,,,,,58,1
GCM,2,,Luke,BTM,,,750,,,90,,50,850,CCW,,h,BOU,OC,,1/22/1999,,,,,59,1
APH,1,,MOISE,AAD,,,1100,,,90,,38,0,CCW,,h,BOU,C,,1/26/1999,,,,,43,2
CRG,3,,MOISE,AAD,,,1021,,,90,,43,176,CCW,,h,BOU,C,,1/26/1999,,,,K5,47,2
WCH,1,,simon,BTM,,,1116,,,6,,0,75,CCW,,s,BOU,,,11-Feb-99,,,,,44,3
GBT,1,,simon,BTM,,,1114,,,90,,10,150,CCW,,s,BOU,,,11-Feb-99,,,,,45,4
RBDH,1,,simon,BTM,,,1111,,32,160,,10.94471551,300,CCW,,h,BOU,,,11-Feb-99,,,,,48,4
RBDH,1,,simon,BTM,,,1111,,,90,,75,300,CCW,,h,BOU,,,11-Feb-99,,,,,49,4
WNG,3,,Augustine,CLB,,,632,,,90,,21,100,CCW,,s,CDC,OC,,1/21/1999,,,,EL,60,1
GBT,2,,Augustine,CLB,,,704,,,270,,32,141,CCW,,h,CDC,OC,,1/21/1999,,,,,61,1
